year,month,day,statefips,case_count,death_count,test_count,case_rate,death_rate,test_rate,new_positives_rate,new_case_rate,new_death_rate,new_test_rate,new_case_count,new_death_count,new_test_count,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,24,24,0,0,.,0,0,.,.,.,.,.,.,.,.,.00275,.0066,.00207,.00107,-.000142,.00371,.00427,.00169
2020,1,24,25,0,0,0,0,0,0,.,.,.,.,.,.,.,.00311,-.00218,.00524,.00203,.0011,.00428,.00318,.00437
2020,1,24,26,0,0,.,0,0,.,.,.,.,.,.,.,.,.00539,.0102,.0044,.00167,.00189,.00664,.00741,.00551
2020,1,24,27,0,0,.,0,0,.,.,.,.,.,.,.,.,.00283,.00695,.00486,-.0036,.00128,.00312,.00524,.00539
2020,1,24,28,0,0,.,0,0,.,.,.,.,.,.,.,.,.0022,.00028,.00672,-.00232,-.00766,.0117,.00677,-.0151
2020,1,24,29,0,0,.,0,0,.,.,.,.,.,.,.,.,.00139,.00414,.00207,-.00441,-.0000119,.003,-.000631,.00154
2020,1,24,30,0,0,.,0,0,.,.,.,.,.,.,.,.,.00602,.00933,.00535,.00339,.00452,.014,.00337,.00751
2020,1,24,31,0,0,.,0,0,.,.,.,.,.,.,.,.,-.00388,.00173,-.00555,-.00608,-.000586,-.00478,-.0251,.00256
2020,1,24,32,0,0,.,0,0,.,.,.,.,.,.,.,.,.00377,.00251,.00495,.0028,.000419,.00381,.0107,-.000733
2020,1,24,33,0,0,.,0,0,.,.,.,.,.,.,.,.,.00413,.00673,.00411,.00163,-.000584,.00924,.00694,.00232
2020,1,24,34,0,0,.,0,0,.,.,.,.,.,.,.,.,.00346,.00433,.00315,.0032,.0032,.00292,.00634,.00182
2020,1,24,35,0,0,.,0,0,.,.,.,.,.,.,.,.,.0093,.0137,.00839,.00163,.00447,.00793,.0128,.0000225
2020,1,24,36,0,0,.,0,0,.,.,.,.,.,.,.,.,.00467,.00535,.00571,.00234,.00586,.00363,.0058,.00233
2020,1,24,37,0,0,.,0,0,.,.,.,.,.,.,.,.,.00196,.000507,.00495,-.00247,-.000333,-.000443,.00687,.00355
2020,1,24,38,0,0,.,0,0,.,.,.,.,.,.,.,.,.0112,.0213,.00639,.00784,.00516,.00619,.0164,.
2020,1,24,39,0,0,.,0,0,.,.,.,.,.,.,.,.,.00144,.00113,.00297,-.0018,.000879,-.000537,.00506,.000751
2020,1,24,4,0,0,.,0,0,.,.,.,.,.,.,.,.,.00154,-.00266,.00504,-.00219,.000626,-.00892,.0043,.00515
2020,1,24,40,0,0,.,0,0,.,.,.,.,.,.,.,.,.00379,.0108,.00126,-.00117,.000334,.0134,.00116,.00641
2020,1,24,41,0,0,.,0,0,.,.,.,.,.,.,.,.,.00532,.0065,.00713,-.000579,.00519,.0029,.00751,.00273
2020,1,24,42,0,0,.,0,0,.,.,.,.,.,.,.,.,.00269,.00773,.00159,-.00108,.00116,.00339,.00323,.000696
2020,1,24,44,0,0,.,0,0,.,.,.,.,.,.,.,.,.00441,.0109,.00289,.00189,.00266,.00674,.00687,.0026
2020,1,24,45,0,0,.,0,0,.,.,.,.,.,.,.,.,.00411,.00316,.0072,-.00261,.00259,.005,.0103,.00273
2020,1,24,46,0,0,.,0,0,.,.,.,.,.,.,.,.,.00891,.0259,.015,.,.,-.000398,.,-.00237
